"","ensembl_gene_id","ensembl_transcript_id","external_gene_name"
"1","ENSG00000158270","ENST00000400256","COLEC12"
"2","ENSG00000100225","ENST00000397426","FBXO7"
"3","ENSG00000183214","ENST00000460798","MICA"
"4","ENSG00000125772","ENST00000379019","GPCPD1"
"5","ENSG00000223532","ENST00000472294","HLA-B"
"6","ENSG00000134884","ENST00000400198","ARGLU1"
"7","ENSG00000171858","ENST00000343986","RPS21"
"8","ENSG00000171858","ENST00000450116","RPS21"
"9","ENSG00000101162","ENST00000217133","TUBB1"
"10","ENSG00000147454","ENST00000519192","SLC25A37"
"11","ENSG00000101213","ENST00000542869","PTK6"
"12","ENSG00000104765","ENST00000518611","BNIP3L"
"13","ENSG00000223573","ENST00000448587","TINCR"
"14","ENSG00000138326","ENST00000465692","RPS24"
"15","ENSG00000156381","ENST00000286918","ANKRD9"
"16","ENSG00000038427","ENST00000342785","VCAN"
"17","ENSG00000121691","ENST00000241052","CAT"
"18","ENSG00000164190","ENST00000504430","NIPBL"
"19","ENSG00000241343","ENST00000553110","RPL36A"
"20","ENSG00000124098","ENST00000371384","FAM210B"
"21","ENSG00000213741","ENST00000557519","RPS29"
"22","ENSG00000158578","ENST00000396198","ALAS2"
"23","ENSG00000136929","ENST00000259456","HEMGN"
"24","ENSG00000167637","ENST00000618787","ZNF283"
"25","ENSG00000090382","ENST00000261267","LYZ"
"26","ENSG00000167768","ENST00000252244","KRT1"
"27","ENSG00000189367","ENST00000483725","KIAA0408"
"28","ENSG00000103342","ENST00000420576","GSPT1"
"29","ENSG00000198918","ENST00000361575","RPL39"
"30","ENSG00000139354","ENST00000547754","GAS2L3"
"31","ENSG00000270367","ENST00000605787",""
"32","ENSG00000071082","ENST00000264258","RPL31"
"33","ENSG00000141756","ENST00000487489","FKBP10"
"34","ENSG00000106261","ENST00000535170","ZKSCAN1"
"35","ENSG00000141696","ENST00000484247","P3H4"
"36","ENSG00000130830","ENST00000369534","MPP1"
"37","ENSG00000184988","ENST00000612339","TMEM106A"
"38","ENSG00000172840","ENST00000311765","PDP2"
"39","ENSG00000214717","ENST00000381222","ZBED1"
"40","ENSG00000166046","ENST00000299045","TCP11L2"
"41","ENSG00000087299","ENST00000267436","L2HGDH"
"42","ENSG00000223609","ENST00000650601","HBD"
"43","ENSG00000196565","ENST00000336906","HBG2"
"44","ENSG00000213934","ENST00000330597","HBG1"
"45","ENSG00000133606","ENST00000255977","MKRN1"
"46","ENSG00000136732","ENST00000259254","GYPC"
"47","ENSG00000101972","ENST00000371145","STAG2"
"48","ENSG00000076662","ENST00000592945","ICAM3"
"49","ENSG00000198947","ENST00000679482","DMD"
"50","ENSG00000145335","ENST00000674129","SNCA"
"51","ENSG00000120802","ENST00000556029","TMPO"
"52","ENSG00000198876","ENST00000361264","DCAF12"
"53","ENSG00000183508","ENST00000369448","TENT5C"
"54","ENSG00000188536","ENST00000397806","HBA2"
"55","ENSG00000131446","ENST00000307826","MGAT1"
"56","ENSG00000186407","ENST00000392619","CD300E"
"57","ENSG00000197535","ENST00000686989","MYO5A"
"58","ENSG00000136758","ENST00000613434","YME1L1"
"59","ENSG00000169714","ENST00000502976","CNBP"
"60","ENSG00000153310","ENST00000694912","CYRIB"
"61","ENSG00000158856","ENST00000265800","DMTN"
"62","ENSG00000129534","ENST00000310806","MIS18BP1"
"63","ENSG00000176406","ENST00000501515","RIMS2"
"64","ENSG00000172613","ENST00000530934","RAD9A"
"65","ENSG00000187514","ENST00000409321","PTMA"
"66","ENSG00000177954","ENST00000651669","RPS27"
"67","ENSG00000135250","ENST00000489828","SRPK2"
"68","ENSG00000168610","ENST00000677271","STAT3"
"69","ENSG00000082146","ENST00000392249","STRADB"
"70","ENSG00000065978","ENST00000436427","YBX1"
"71","ENSG00000168497","ENST00000304141","CAVIN2"
"72","ENSG00000203710","ENST00000400960","CR1"
"73","ENSG00000198858","ENST00000589428","R3HDM4"
"74","ENSG00000143774","ENST00000366716","GUK1"
"75","ENSG00000198160","ENST00000401042","MIER1"
"76","ENSG00000157388","ENST00000636581","CACNA1D"
"77","ENSG00000159023","ENST00000482464","EPB41"
"78","ENSG00000004939","ENST00000399246","SLC4A1"
"79","ENSG00000213300","ENST00000472163","HNRNPA3P6"
"80","ENSG00000162722","ENST00000366481","TRIM58"
"81","ENSG00000170315","ENST00000535788","UBB"
"82","ENSG00000170315","ENST00000302182","UBB"
"83","ENSG00000170315","ENST00000578649","UBB"
"84","ENSG00000271383","ENST00000426482","NBPF19"
"85","ENSG00000186487","ENST00000471668","MYT1L"
"86","ENSG00000128487","ENST00000395525","SPECC1"
"87","ENSG00000135930","ENST00000463074","EIF4E2"
"88","ENSG00000122026","ENST00000311549","RPL21"
"89","ENSG00000164190","ENST00000282516","NIPBL"
"90","ENSG00000213741","ENST00000245458","RPS29"
"91","ENSG00000147526","ENST00000276520","TACC1"
"92","ENSG00000086232","ENST00000199389","EIF2AK1"
"93","ENSG00000083844","ENST00000263095","ZNF264"
"94","ENSG00000151702","ENST00000344954","FLI1"
"95","ENSG00000156508","ENST00000309268","EEF1A1"
"96","ENSG00000170271","ENST00000326080","FAXDC2"
"97","ENSG00000131469","ENST00000253788","RPL27"
"98","ENSG00000161671","ENST00000334976","EMC10"
"99","ENSG00000013306","ENST00000225308","SLC25A39"
"100","ENSG00000159346","ENST00000340990","ADIPOR1"
